name,brand,puffs,price,desc
XCOR MAX 50000 PUFFS,XCOR,50000,90,"Jednorazowy vape 50000 pociągnięć, 5% nikotyny"
Stag Bar 6in1 180000 PUFFS,StagBar,180000,150,"6w1, 180000 pociągnięć, największa pojemność"
HIFANCY Super 70000 PUFFS,HIFANCY,70000,120,"Premium 70000 pociągnięć, 2% nikotyny"
AiRMEZ FOX 120000 PUFFS 4in1,AiRMEZ,120000,100,"4in1, 120000 pociągnięć, 5% nikotyny"
AiRMEZ 25000 PUFFS,AiRMEZ,25000,60,"Klasyczny 25000 pociągnięć, 2% nikotyny"
AiRMEZ LUX 60000 PUFFS,AiRMEZ,60000,100,"LUX 60000 pociągnięć, 5% nikotyny"
AiRMEZ MATRIX PRO 30000 PUFFS,AiRMEZ,30000,80,"Matrix Pro 30000 pociągnięć, USB-C"
MerryMi Blade 30000 PUFFS,MerryMi,30000,80,"Blade 30000 pociągnięć, 5% nikotyny"
HiFancy Space 50000 PUFFS,HIFANCY,50000,100,"Space 50000 pociągnięć, 2% nikotyny"
HIFANCY DREAM 45000 PUFFS,HIFANCY,45000,90,"Dream 45000 pociągnięć, 5% nikotyny"
XCOR TYRANT 23000 PUFFS,XCOR,23000,70,"Tyrant 23000 pociągnięć, 5% nikotyny"
XCOR Hawaii PRO 23000 PUFFS,XCOR,23000,70,"Hawaii PRO 23000 pociągnięć, 2% nikotyny"
MASKKING ICEX 40000 PUFFS,Maskking,40000,80,"ICEX 40000 pociągnięć, 5% nikotyny"
